observation_date,DDSI05JPA156NWDB
1998-01-01,9.600000400000001
1999-01-01,11.900000000000000
2000-01-01,11.699999999999999
2001-01-01,10.800000000000001
2002-01-01,9.399999599999999
2003-01-01,11.100000000000000
2004-01-01,11.600000000000000
2005-01-01,12.500000000000000
2006-01-01,12.500000000000000
2007-01-01,13.300000000000001
2008-01-01,11.300000000000001
2009-01-01,11.199999999999999
2010-01-01,13.889158999999999
2011-01-01,14.239265000000000
2012-01-01,14.249408000000001
2013-01-01,15.906136999999999
2014-01-01,15.267852000000000
2015-01-01,15.944172000000000
2016-01-01,16.196335000000001
2017-01-01,16.656738000000001
2018-01-01,16.998114000000001
2019-01-01,17.270000000000000
2020-01-01,16.899999999999999
