observation_date,DDSI05USA156NWDB
1998-01-01,12.199999999999999
1999-01-01,12.199999999999999
2000-01-01,12.400000000000000
2001-01-01,12.900000000000000
2002-01-01,13.000000000000000
2003-01-01,13.000000000000000
2004-01-01,13.199999999999999
2005-01-01,12.900000000000000
2006-01-01,13.000000000000000
2007-01-01,12.800000000000001
2008-01-01,12.800000000000001
2009-01-01,13.900000000000000
2010-01-01,14.789097999999999
2011-01-01,14.685203000000000
2012-01-01,14.506615000000000
2013-01-01,14.405015000000001
2014-01-01,14.385415000000000
2015-01-01,14.137359999999999
2016-01-01,14.191082000000002
2017-01-01,14.532987000000000
2018-01-01,14.774718999999999
2019-01-01,14.650501999999999
2020-01-01,16.276038000000000
